COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,DATE
BTN,187866,,,187866,24,24,,,27-03-2021,30-10-2022,28-03-2021
BTN,480836,,,480836,62,62,,,27-03-2021,30-10-2022,25-04-2021
BTN,483092,,,483092,63,63,,,27-03-2021,30-10-2022,30-05-2021
BTN,484797,,490,485619,63,63,,,27-03-2021,30-10-2022,27-06-2021
BTN,530103,,470465,1000568,130,69,,61,27-03-2021,30-10-2022,25-07-2021
BTN,567148,,477951,1045100,135,74,,62,27-03-2021,30-10-2022,29-08-2021
BTN,584818,,497517,1082335,140,76,,64,27-03-2021,30-10-2022,26-09-2021
BTN,588307,,559839,1148146,149,76,,73,27-03-2021,30-10-2022,31-10-2021
BTN,589291,,564417,1153709,150,76,,73,27-03-2021,30-10-2022,28-11-2021
BTN,591944,,568191,1160134,150,77,,74,27-03-2021,30-10-2022,26-12-2021
BTN,594009,274060,570814,1438884,186,77,36,74,27-03-2021,30-10-2022,30-01-2022
BTN,599054,424517,574887,1598457,207,78,55,75,27-03-2021,30-10-2022,27-02-2022
BTN,689418,530095,582157,1801669,233,89,69,75,27-03-2021,30-10-2022,27-03-2022
BTN,692549,542552,671505,1906606,247,90,70,87,27-03-2021,30-10-2022,24-04-2022
BTN,692803,543968,672262,1909033,247,90,70,87,27-03-2021,30-10-2022,29-05-2022
BTN,692996,545280,672722,1910998,248,90,71,87,27-03-2021,30-10-2022,26-06-2022
BTN,694208,549912,673485,1917605,249,90,71,87,27-03-2021,30-10-2022,31-07-2022
BTN,695683,556971,674855,1927509,250,90,72,87,27-03-2021,30-10-2022,28-08-2022
BTN,698096,621051,676991,1996138,259,90,80,88,27-03-2021,30-10-2022,25-09-2022
