Date_reported,Country_code,Country,WHO_region,Covid_new_hospitalizations_last_7days,Covid_new_icu_admissions_last_7days,Covid_new_hospitalizations_last_28days,Covid_new_icu_admissions_last_28days
03-08-2025,AFG,AFGHANISTAN,EMR,,,,
03-08-2025,ALB,ALBANIA,EUR,,,,
03-08-2025,DZA,ALGERIA,AFR,,,,
03-08-2025,ASM,AMERICAN SAMOA,WPR,,,,
03-08-2025,AND,ANDORRA,EUR,,,,
03-08-2025,AGO,ANGOLA,AFR,,,,
03-08-2025,AIA,ANGUILLA,AMR,,,,
03-08-2025,ATG,ANTIGUA AND BARBUDA,AMR,,,,
03-08-2025,ARG,ARGENTINA,AMR,54,,217,
03-08-2025,ARM,ARMENIA,EUR,,,,
03-08-2025,ABW,ARUBA,AMR,,,,
03-08-2025,AUS,AUSTRALIA,WPR,,,,
03-08-2025,AUT,AUSTRIA,EUR,,,,
03-08-2025,AZE,AZERBAIJAN,EUR,,,,
03-08-2025,BHS,BAHAMAS,AMR,,,,
03-08-2025,BHR,BAHRAIN,EMR,,,,
03-08-2025,BGD,BANGLADESH,SEAR,,,,
03-08-2025,BRB,BARBADOS,AMR,,,,
03-08-2025,BLR,BELARUS,EUR,,,,
03-08-2025,BEL,BELGIUM,EUR,,,,
03-08-2025,BLZ,BELIZE,AMR,,,,
03-08-2025,BEN,BENIN,AFR,,,,
03-08-2025,BMU,BERMUDA,AMR,,,,
03-08-2025,BTN,BHUTAN,SEAR,,,,
03-08-2025,BOL,BOLIVIA (PLURINATIONAL STATE OF),AMR,0,0,0,0
03-08-2025,BES,"BONAIRE, SINT EUSTATIUS AND SABA",AMR,,,,
03-08-2025,BIH,BOSNIA AND HERZEGOVINA,EUR,0,0,0,0
03-08-2025,BWA,BOTSWANA,AFR,,,,
03-08-2025,BRA,BRAZIL,AMR,91,30,423,119
03-08-2025,VGB,BRITISH VIRGIN ISLANDS,AMR,0,0,0,0
03-08-2025,BRN,BRUNEI DARUSSALAM,WPR,2,0,25,0
03-08-2025,BGR,BULGARIA,EUR,,,,
03-08-2025,BFA,BURKINA FASO,AFR,,,,
03-08-2025,BDI,BURUNDI,AFR,,,,
03-08-2025,CPV,CABO VERDE,AFR,,,,
03-08-2025,KHM,CAMBODIA,WPR,,,,
03-08-2025,CMR,CAMEROON,AFR,,,,
03-08-2025,CAN,CANADA,AMR,,,,
03-08-2025,CYM,CAYMAN ISLANDS,AMR,,,,
03-08-2025,CAF,CENTRAL AFRICAN REPUBLIC,AFR,,,,
03-08-2025,TCD,CHAD,AFR,,,,
03-08-2025,CHL,CHILE,AMR,1,1,3,2
03-08-2025,CHN,CHINA,WPR,,,,
03-08-2025,COL,COLOMBIA,AMR,84,0,276,0
03-08-2025,COM,COMOROS,AFR,,,,
03-08-2025,COG,CONGO,AFR,,,,
03-08-2025,COK,COOK ISLANDS,WPR,,,,
03-08-2025,CRI,COSTA RICA,AMR,0,0,0,0
03-08-2025,CIV,CÔTE D’IVOIRE,AFR,,,,
03-08-2025,HRV,CROATIA,EUR,,,,
03-08-2025,CUB,CUBA,AMR,,,,
03-08-2025,CUW,CURAÇAO,AMR,,,,
03-08-2025,CYP,CYPRUS,EUR,,,,
03-08-2025,CZE,CZECHIA,EUR,5,1,20,3
03-08-2025,PRK,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,SEAR,,,,
03-08-2025,COD,DEMOCRATIC REPUBLIC OF THE CONGO,AFR,,,,
03-08-2025,DNK,DENMARK,EUR,,,,
03-08-2025,DJI,DJIBOUTI,EMR,,,,
03-08-2025,DMA,DOMINICA,AMR,0,0,0,0
03-08-2025,DOM,DOMINICAN REPUBLIC,AMR,,,,
03-08-2025,ECU,ECUADOR,AMR,,,30,1
03-08-2025,EGY,EGYPT,EMR,,,,
03-08-2025,SLV,EL SALVADOR,AMR,,,,
03-08-2025,GNQ,EQUATORIAL GUINEA,AFR,,,,
03-08-2025,ERI,ERITREA,AFR,,,,
03-08-2025,EST,ESTONIA,EUR,3,,20,1
03-08-2025,SWZ,ESWATINI,AFR,,,,
03-08-2025,ETH,ETHIOPIA,AFR,,,,
03-08-2025,FLK,FALKLAND ISLANDS (MALVINAS),AMR,,,,
03-08-2025,FRO,FAROE ISLANDS,EUR,,,,
03-08-2025,FJI,FIJI,WPR,,,,
03-08-2025,FIN,FINLAND,EUR,,,,
03-08-2025,FRA,FRANCE,EUR,,,,
03-08-2025,GUF,FRENCH GUIANA,AMR,,,,
03-08-2025,PYF,FRENCH POLYNESIA,WPR,,,,
03-08-2025,GAB,GABON,AFR,,,,
03-08-2025,GMB,GAMBIA,AFR,,,,
03-08-2025,GEO,GEORGIA,EUR,,,,
03-08-2025,DEU,GERMANY,EUR,,,,
03-08-2025,GHA,GHANA,AFR,,,,
03-08-2025,GIB,GIBRALTAR,EUR,,,,
03-08-2025,GRC,GREECE,EUR,189,1,539,1
03-08-2025,GRL,GREENLAND,EUR,,,,
03-08-2025,GRD,GRENADA,AMR,,,,
